№;Название;Где используется;Отступ слева;Отступ справа;Цвет фона;Радиус углов блока;Цвет блока;Комментарий
01;HEADER;все страницы;32px (full-width);32px (full-width);#ffffff;;;высота 68px · nav Montserrat 400/15 grey-500, gap 40 · телефон Gilroy 400/16 · CTA primary + баббл · бургер ≤959 · в меню кнопка 12px, центрирована
02;HOME HERO;главная;Маленький;Маленький;#f4f8ff;24px;;карточка ink-900, min-height 648 · фото справа 52% + градиент · mobile: фото сверху (−25% высоты), текст и кнопки к низу, кнопки в столбик
03;KIBER GOSHA QUOTE;главная, карточки, статьи, подборки;Большой;Маленький;#f4f8ff;;;Гоша 140px круг слева, текст справа · lead 700/16 · mobile: всё по левому краю
04;COLLECTION CARDS (заголовок и текст под заголовком);главная, подборки;Большой;Большой;#f4f8ff;;;заголовок heading--lg (41/34/24)
04;COLLECTION CARDS (блоки карточек);главная, подборки;Большой (1-я карточка = отступ заголовка);За экран;#f4f8ff;20px;;карточки 370×350 · drag + стрелки справа сверху на desktop · mobile только свайп · 5-я карточка «Все подборки» #0088ff
05;ROBOT CARD (заголовок и текст под заголовком);каталог, related, подборки;Большой;Большой;#f4f8ff;;;
05;ROBOT CARD (блоки карточек);каталог, related, подборки;Маленький;Маленький;#f4f8ff;16px;;фото 1:1 белое · лого-знак 28 blue · бейдж 92px orange (mobile 48px, шрифт 9px) · цена чёрная · mobile 2 колонки, шрифты −20%
06;ARTICLE CARDS (заголовок и текст под заголовком);главная, статьи;Большой;Большой;#f4f8ff;;;
06;ARTICLE CARDS (блоки карточек);главная, статьи;Маленький;Маленький;#f4f8ff;20px;;border rgba(0,94,255,.1) · mobile шрифты −20% · кнопка «Читать все статьи» → /articles
07;FAQ;главная, карточки, подборки, статьи;Большой;Большой;#f4f8ff;;;заголовок и вопросы по левому краю · иконка «плюс», 45° в открытом · без hover-смены фона · без CTA-хвоста
08;NEWS CARDS;главная, новости;Большой;Большой;#36323e;16px;;заголовок белый · mobile кнопка «Читать все новости» → /news
09;CTA STRIP;финальный призыв;Маленький;Маленький;#f4f8ff;16px;#005eff;текст слева · Гоша-медитатор справа (desktop) · mobile: Гоша убран, кнопки в столбик · OVERRIDE xlsx (было #0088ff)
10;BREADCRUMBS;все внутренние страницы;Маленький;Маленький;#f4f8ff;;;list-style none · gap 12 · 14px
11;ROBOT HERO;карточка робота;Большой;Большой;#f4f8ff;24px;;фото 1:1 · mobile: цена между текстом и кнопками, одна кнопка в карточку · OVERRIDE xlsx (было мал/мал)
12;ROBOT FACTS;карточка робота;Большой;Большой;#f4f8ff;16px;;карточки прозрачные, без цифр · структура: заголовок → картинка 16:9 → текст · +подзаголовок под H2
13;ROBOT SCENARIOS;карточка робота;Большой;Большой;#f4f8ff;16px;#ffffff;+подзаголовок под H2
14;GALLERY;карточка, подборки, статьи, кейсы;Большой (заголовок), Малый (слайдер);За экран;#f4f8ff;20px;;стрелки справа на линии заголовка (desktop) · mobile только свайп · mobile 1:1
15;PRICING;карточка робота;Маленький;Маленький;#f4f8ff;16px;#005eff;текст слева · Гоша-машущий справа с обрезкой (desktop) · mobile: одна цена «от 25 000 ₽/час» −20%, пометка под ценой, кнопки внизу, Гоши нет · OVERRIDE xlsx (было #0088ff)
16;COMPARISON TABLE;статьи-сравнения;Большой;Большой;#f4f8ff;;#ffffff;текст 13px (−20%) · 1-я колонка 154px (−30%) · mobile 11px/110px + sticky · вариант B с превью 1:1
17;ARTICLE HERO;статья блога;Маленький;Маленький;#36323e;20px;;фото фоном + градиент · текст сверху слева · без авторского блока
18;ARTICLE BODY (текст + 2 колонки);статьи;Большой;Большой;#f4f8ff;;;2 колонки, у каждой жирный подзаголовок Gilroy 700/20
19;ACCENT KICKER (акцентный подзаголовок);статьи;Большой;Большой;#25222b;;;белый Gilroy 700/28, без карточки · OVERRIDE xlsx (было #f4f8ff + #ffffff)
20;TEXT PAIRS (текст 1:1);статьи;Большой;Большой;#f4f8ff;;;заголовок heading--lg + подзаголовок · строки 1fr/2fr
21;IMAGE TEXT PAIRS (картинки и текст);статьи;Большой;Большой;#f4f8ff;20px;;+заголовок секции heading--lg, большой, слева
22;STATS BLOCK (блок с цифрами);статьи, подборки;Большой;Большой;#f4f8ff;16px;#ffffff;+заголовок секции heading--lg
23;CHECKLIST (чекпоинт);статьи, подборки;Большой;Большой;#f4f8ff;;;2 колонки · галочка 48px · заголовок пункта 20 · вариант B: цифры 48px полупрозрачные
24;MEDIA FIGURE (фото с описанием);статьи;Большой;Большой;#f4f8ff;20px;;70/30: фото слева, текст справа
25;VIDEO EMBED;карточки, статьи;Большой;Большой;#f4f8ff;20px;;+заголовок над плеером
26;ARTICLE ASIDE (заголовок и текст под заголовком);статьи;Большой;Большой;#f4f8ff;;;заголовок heading--lg · кнопка «Все статьи» (desktop+mobile) · оформление как блок 06
26;ARTICLE ASIDE (блоки карточек);статьи;Маленький;Маленький;#f4f8ff;;;оформление блока как блок 06 ARTICLE CARDS
27;COLLECTION HERO;подборки;Большой;Большой;#f4f8ff;;;заголовок = Heading 34 (уменьшен, «как в блоке 16»)
